security_id,trading_symbol,company_name,lot_size,tick_size
14747,011NSETEST,011NSETEST,1.0,5.0
14751,021NSETEST,021NSETEST,1.0,5.0
14753,031NSETEST,031NSETEST,1.0,5.0
14755,041NSETEST,041NSETEST,1.0,5.0
14758,051NSETEST,051NSETEST,1.0,5.0
14762,061NSETEST,061NSETEST,1.0,5.0
14764,071NSETEST,071NSETEST,1.0,5.0
14767,081NSETEST,081NSETEST,1.0,5.0
14769,091NSETEST,091NSETEST,1.0,5.0
14772,101NSETEST,101NSETEST,1.0,5.0
14774,111NSETEST,111NSETEST,1.0,5.0
12841,11NSETEST,11NSETEST,1.0,5.0
14777,121NSETEST,121NSETEST,1.0,5.0
14778,131NSETEST,131NSETEST,1.0,5.0
14781,141NSETEST,141NSETEST,1.0,5.0
14782,151NSETEST,151NSETEST,1.0,5.0
14784,161NSETEST,161NSETEST,1.0,5.0
23446,171NSETEST,171NSETEST,1.0,5.0
23447,181NSETEST,181NSETEST,1.0,5.0
16921,20MICRONS,20 MICRONS LTD,1.0,1.0
4,21STCENMGM,21ST CENTURY MGMT SERVICE,1.0,1.0
13061,360ONE,360 ONE WAM LIMITED,1.0,5.0
6232,3IINFOLTD,3I INFOTECH LIMITED,1.0,1.0
474,3MINDIA,3M INDIA LIMITED,1.0,500.0
2595,3PLAND,3P LAND HOLDINGS LIMITED,1.0,1.0
445,5PAISA,5PAISA CAPITAL LIMITED,1.0,5.0
11868,63MOONS,63 MOONS TECHNOLOGIES LTD,1.0,5.0
12533,AAATECH,AAA TECHNOLOGIES LIMITED,1.0,1.0
23729,AADHARHFC,AADHAR HOUSING FINANCE L,1.0,5.0
235,AAKASH,AAKASH EXPLORATION SER L,1.0,1.0
1030,AARON,AARON INDUSTRIES LIMITED,1.0,5.0
17145,AARTECH,AARTECH SOLONICS LIMITED,1.0,1.0
4481,AARTIDRUGS,AARTI DRUGS LTD.,1.0,5.0
7,AARTIIND,AARTI INDUSTRIES LTD,1.0,5.0
13868,AARTIPHARM,AARTI PHARMALABS LIMITED,1.0,5.0
19073,AARVI,AARVI ENCON LIMITED,1.0,1.0
5385,AAVAS,AAVAS FINANCIERS LIMITED,1.0,10.0
10,ABAN,ABAN OFFSHORE LTD.,1.0,1.0
13,ABB,ABB INDIA LIMITED,1.0,50.0
17903,ABBOTINDIA,ABBOTT INDIA LIMITED,1.0,500.0
21614,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,1.0,1.0
24308,ABDL,ALLIED BLEND N DISTILS L,1.0,5.0
30108,ABFRL,ADITYA BIRLA FASHION & RT,1.0,1.0
24404,ABGSEC,BIRLASLAMC - ABGSEC,1.0,1.0
5549,ABMINTLLTD,ABM INTERNATIONAL LTD,1.0,1.0
625,ABREL,ADITYA BIRLA REAL EST LTD,1.0,10.0
6018,ABSLAMC,ADIT BIRL SUN LIF AMC LTD,1.0,5.0
13987,ABSLBANETF,BIRLASLAMC - ABSLBANETF,1.0,1.0
14518,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,1.0,1.0
7339,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,1.0,1.0
23806,ABSLPSE,BIRLASLAMC-ABSLPSE,1.0,1.0
22,ACC,ACC LIMITED,1.0,10.0
7053,ACCELYA,ACCELYA SOLN INDIA LTD,1.0,10.0
1465,ACCURACY,ACCURACY SHIPPING LIMITED,1.0,1.0
13587,ACE,ACTION CONST EQUIP LTD,1.0,10.0
11779,ACEINTEG,ACE INTEGRATED SOLU. LTD.,1.0,1.0
12024,ACI,ARCHEAN CHEMICAL IND LTD,1.0,5.0
15420,ACL,ANDHRA CEMENTS LIMITED,1.0,1.0
13688,ACLGATI,ALLCARGO GATI LIMITED,1.0,1.0
27061,ACMESOLAR,ACME SOLAR HOLDINGS LTD,1.0,5.0
5578,ACUTAAS,ACUTAAS CHEMICALS LIMITED,1.0,10.0
10217,ADANIENSOL,ADANI ENERGY SOLUTION LTD,1.0,5.0
25,ADANIENT,ADANI ENTERPRISES LIMITED,1.0,10.0
3563,ADANIGREEN,ADANI GREEN ENERGY LTD,1.0,10.0
