iter	Passed	Remaining
0	66	33131
1	70	17460
2	74	12278
3	77	9644
4	81	8062
5	85	6999
6	88	6233
7	92	5663
8	95	5223
9	99	4870
10	103	4580
11	106	4341
12	110	4138
13	114	3962
14	117	3813
15	121	3677
16	125	3565
17	129	3462
18	133	3367
19	137	3294
20	140	3214
21	144	3145
22	148	3077
23	152	3017
24	155	2959
25	159	2905
26	162	2855
27	166	2807
28	170	2764
29	173	2724
30	177	2686
31	181	2649
32	184	2614
33	188	2584
34	192	2552
35	195	2521
36	199	2492
37	202	2464
38	206	2438
39	209	2411
40	213	2387
41	216	2364
42	220	2343
43	224	2323
44	227	2304
45	231	2284
46	235	2270
47	239	2255
48	243	2238
49	246	2219
50	250	2204
51	253	2187
52	257	2172
53	261	2157
54	264	2142
55	268	2132
56	272	2116
57	275	2102
58	279	2089
59	283	2075
60	286	2063
61	290	2051
62	293	2038
63	297	2027
64	301	2016
65	304	2004
66	308	1993
67	312	1982
68	315	1972
69	319	1961
70	322	1950
71	326	1941
72	330	1930
73	333	1921
74	337	1911
75	341	1907
76	345	1897
77	349	1888
78	352	1878
79	356	1870
80	359	1860
81	363	1852
82	366	1842
83	370	1834
84	373	1825
85	377	1817
86	381	1810
87	384	1802
88	388	1793
89	391	1785
90	395	1777
91	399	1771
92	403	1763
93	406	1757
94	410	1749
95	414	1742
96	417	1734
97	421	1729
98	425	1722
99	428	1715
100	432	1708
101	435	1700
102	439	1693
103	443	1686
104	446	1680
105	450	1673
106	453	1665
107	457	1658
108	460	1652
109	464	1645
110	467	1638
111	471	1632
112	474	1625
113	478	1619
114	481	1613
115	485	1606
116	488	1600
117	492	1593
118	496	1588
119	499	1582
120	503	1576
121	506	1569
122	510	1563
123	513	1557
124	517	1551
125	521	1546
126	524	1541
127	528	1535
128	531	1529
129	535	1524
130	539	1519
131	543	1514
132	546	1508
133	550	1504
134	554	1498
135	557	1493
136	561	1488
137	565	1482
138	568	1477
139	572	1471
140	575	1466
141	579	1461
142	583	1456
143	586	1450
144	590	1445
145	593	1439
146	597	1433
147	600	1428
148	604	1423
149	607	1417
150	610	1411
151	614	1406
152	618	1402
153	621	1397
154	625	1392
155	629	1387
156	632	1382
157	636	1377
158	639	1372
159	643	1368
160	647	1363
161	650	1358
162	654	1353
163	657	1348
164	661	1342
165	665	1338
166	668	1333
167	672	1329
168	676	1324
169	680	1320
170	683	1315
171	687	1310
172	690	1305
173	694	1300
174	697	1295
175	701	1290
176	704	1286
177	708	1281
178	711	1276
179	715	1271
180	718	1266
181	722	1261
182	725	1257
183	729	1252
184	732	1247
185	736	1242
186	739	1237
187	743	1233
188	746	1228
189	750	1224
190	753	1219
191	757	1214
192	760	1210
193	764	1205
194	767	1201
195	771	1196
196	774	1191
197	778	1187
198	782	1183
199	786	1179
200	789	1174
201	793	1170
202	797	1166
203	801	1162
204	804	1157
205	808	1153
206	812	1150
207	816	1146
208	820	1142
209	824	1137
210	827	1133
211	831	1130
212	835	1125
213	839	1121
214	843	1117
215	847	1113
216	850	1109
217	854	1105
218	858	1101
219	862	1097
220	866	1093
221	870	1089
222	873	1085
223	877	1081
224	881	1077
225	885	1073
226	889	1069
227	893	1065
228	897	1061
229	900	1057
230	904	1053
231	908	1050
232	912	1045
233	916	1041
234	919	1037
235	923	1032
236	926	1028
237	930	1024
238	933	1019
239	937	1015
240	941	1011
241	944	1007
242	948	1002
243	951	998
244	955	994
245	958	989
246	962	985
247	965	981
248	969	977
249	972	972
250	976	968
251	980	964
252	983	960
253	987	955
254	990	951
255	994	947
256	997	943
257	1001	939
258	1005	935
259	1008	931
260	1012	927
261	1016	922
262	1019	918
263	1023	914
264	1026	910
265	1030	906
266	1033	902
267	1037	898
268	1040	893
269	1044	889
270	1048	885
271	1052	881
272	1055	877
273	1059	873
274	1063	869
275	1066	865
276	1070	861
277	1074	857
278	1077	853
279	1081	849
280	1084	845
281	1088	841
282	1091	837
283	1095	833
284	1099	829
285	1102	825
286	1106	821
287	1111	817
288	1115	814
289	1118	809
290	1121	805
291	1125	802
292	1129	798
293	1133	793
294	1136	789
295	1140	785
296	1143	781
297	1147	777
298	1151	773
299	1154	769
300	1158	765
301	1161	761
302	1165	757
303	1168	753
304	1172	749
305	1176	745
306	1179	741
307	1183	737
308	1187	733
309	1190	729
310	1194	725
311	1198	721
312	1201	718
313	1205	713
314	1208	709
315	1212	705
316	1216	702
317	1219	698
318	1223	693
319	1226	690
320	1230	686
321	1234	682
322	1237	678
323	1241	674
324	1244	670
325	1248	666
326	1251	662
327	1255	658
328	1259	654
329	1262	650
330	1266	646
331	1269	642
332	1273	638
333	1276	634
334	1280	630
335	1284	626
336	1287	622
337	1291	618
338	1294	614
339	1298	610
340	1301	607
341	1305	603
342	1309	599
343	1312	595
344	1316	591
345	1320	587
346	1323	583
347	1327	579
348	1330	575
349	1334	571
350	1337	567
351	1341	564
352	1344	560
353	1348	556
354	1352	552
355	1355	548
356	1359	544
357	1362	540
358	1366	536
359	1370	532
360	1373	528
361	1377	525
362	1380	521
363	1384	517
364	1388	513
365	1391	509
366	1395	505
367	1399	501
368	1402	497
369	1406	494
370	1410	490
371	1414	486
372	1417	482
373	1421	478
374	1425	475
375	1429	471
376	1432	467
377	1436	463
378	1440	459
379	1443	455
380	1447	452
381	1450	448
382	1454	444
383	1457	440
384	1461	436
385	1464	432
386	1468	428
387	1471	424
388	1475	421
389	1479	417
390	1482	413
391	1486	409
392	1490	405
393	1493	401
394	1497	398
395	1501	394
396	1504	390
397	1508	386
398	1512	382
399	1515	378
400	1519	375
401	1522	371
402	1526	367
403	1530	363
404	1533	359
405	1537	355
406	1540	352
407	1544	348
408	1547	344
409	1551	340
410	1555	336
411	1558	332
412	1562	329
413	1565	325
414	1569	321
415	1572	317
416	1576	313
417	1579	309
418	1583	306
419	1586	302
420	1590	298
421	1594	294
422	1598	290
423	1602	287
424	1605	283
425	1609	279
426	1613	275
427	1616	271
428	1620	268
429	1623	264
430	1627	260
431	1631	256
432	1634	252
433	1638	249
434	1641	245
435	1645	241
436	1648	237
437	1652	233
438	1655	230
439	1659	226
440	1663	222
441	1666	218
442	1670	214
443	1674	211
444	1677	207
445	1681	203
446	1684	199
447	1688	195
448	1691	192
449	1695	188
450	1699	184
451	1702	180
452	1706	177
453	1710	173
454	1713	169
455	1717	165
456	1721	161
457	1725	158
458	1729	154
459	1732	150
460	1736	146
461	1740	143
462	1743	139
463	1747	135
464	1750	131
465	1754	127
466	1757	124
467	1761	120
468	1765	116
469	1768	112
470	1771	109
471	1776	105
472	1780	101
473	1783	97
474	1787	94
475	1791	90
476	1794	86
477	1798	82
478	1801	78
479	1805	75
480	1808	71
481	1812	67
482	1816	63
483	1819	60
484	1823	56
485	1827	52
486	1831	48
487	1834	45
488	1838	41
489	1841	37
490	1845	33
491	1849	30
492	1852	26
493	1856	22
494	1860	18
495	1863	15
496	1867	11
497	1872	7
498	1877	3
499	1881	0
